,x,y,totcon,name,id
TS,9.5565,34.1168,1363,TUNISIA,2040
AG,2.6317,28.1626,1421,ALGERIA,2039
MO,-6.3168,31.8858,1861,MOROCCO,2038
LY,18.0227,27.0440,2355,LIBYA,2041
EG,29.7745,26.5670,5246,EGYPT,2043
MR,-10.3322,20.2584,811,MAURITANIA,2005
ML,-3.5241,17.3490,299,MALI,2002
NG,9.3963,17.4237,358,NIGER,2006
CD,18.6631,15.3559,895,CHAD,2018
SU,30.0414,13.8374,4751,SUDAN,2042
ET,39.5475,9.2787,1878,ETHIOPIA,2028
SG,-14.4688,14.3663,933,SENEGAL,2003
UV,-1.7411,12.2715,347,BURKINA FASO,2009
NI,8.1052,9.5949,1130,NIGERIA,2015
GA,-15.4118,13.4511,241,THE GAMBIA,2001
CM,12.7459,5.6802,604,CAMEROON,2014
GV,-10.9343,10.4370,1015,GUINEA,2008
BN,2.3447,9.6365,998,BENIN,2004
SO,45.8635,6.0665,2122,SOMALIA,2027
GH,-1.2047,7.9611,1090,GHANA,2012
TO,0.9781,8.5303,848,TOGO,2013
CT,20.4862,6.5705,618,CENTRAL AFRICAN REPUBLIC,2017
IV,-5.5544,7.6290,758,IVORY COAST,2007
SL,-11.7791,8.5708,423,SIERRA LEONE,2011
LI,-9.3121,6.4475,980,LIBERIA,2010
CG,23.6121,-2.8588,3087,ZAIRE,2020
KE,37.8802,0.5373,2273,KENYA,2023
UG,32.3301,1.5133,3134,UGANDA,2022
CF,15.2270,-0.8374,1142,CONGO,2019
GB,11.7989,-0.5935,824,GABON,2016
TZ,34.9636,-6.4512,2881,TANZANIA,2024
RW,29.9201,-1.9932,487,RWANDA,2026
BY,29.9271,-3.3080,604,BURUNDI,2025
AO,17.5732,-12.3340,1528,ANGOLA,2021
ZA,27.7906,-13.4556,1554,ZAMBIA,2029
MI,34.2682,-13.5403,629,MALAWI,2031
MZ,35.5550,-17.2990,792,MOZAMBIQUE,2032
ZI,29.8798,-19.0156,795,ZIMBABWE,2030
BC,23.8154,-22.1837,1266,BOTSWANA,2035
SF,25.0882,-28.9944,1875,SOUTH AFRICA,2033
WZ,31.4988,-26.5624,147,SWAZILAND,2036
LT,28.2419,-29.5741,363,LESOTHO,2034
