year,ISO_code,pf_expression_control,pf_score
2016,ALB,5.25,7.596280576
2016,DZA,4,5.281772109
2016,AGO,2.5,6.111324364
2016,ARG,5.5,8.099695682
2016,ARM,4.25,6.912803602
2016,AUS,7.75,9.184438453
2016,AUT,8,9.246948401
2016,AZE,0.25,5.676553478
2016,BHS,7.25,7.454537846
2016,BHR,0.75,6.136069994
2016,BGD,3.25,5.302600358
2016,BRD,7.5,7.706894465
2016,BLR,2.5,6.059028163
2016,BEL,9.25,8.987178587
2016,BLZ,6.75,7.430863836
2016,BEN,7.25,7.496976295
2016,BTN,5,6.600972815
2016,BOL,4.25,7.206770015
2016,BIH,4.25,7.861447145
2016,BWA,5.25,6.876334453
2016,BRA,4.5,6.665977406
2016,BRN,3.75,4.663699718
2016,BGR,5.75,8.155539077
2016,BFA,7,7.45533967
2016,BDI,0.75,4.414134427
2016,KHM,3.25,7.238448286
2016,CMR,4.25,5.330774311
2016,CAN,8.25,9.151726642
2016,CPV,7.75,7.986583066
2016,CAF,3,5.465632394
2016,TCD,2.5,5.50954107
2016,CHL,6.75,8.216035341
2016,CHN,1.5,5.350820339
2016,COL,3.5,7.021513273
2016,COD,3.75,4.947256786
2016,COG,2,6.777867694
2016,CRI,8.5,8.165428969
2016,CIV,5.25,7.062542048
2016,HRV,5.75,8.456175752
2016,CYP,7.5,8.514393916
2016,CZE,8,9.029761414
2016,DNK,8.5,9.325639969
2016,DOM,4.75,6.942574962
2016,ECU,3.25,7.550555359
2016,EGY,1.5,3.894553773
2016,SLV,5.5,6.917901981
2016,EST,9,9.013701218
2016,ETH,0.5,5.064089941
2016,FJI,6,7.792204395
2016,FIN,9,9.294367917
2016,FRA,6.75,8.766802927
2016,GAB,3.75,5.315575222
2016,GMB,1.25,5.302684702
2016,GEO,4.75,7.576535507
2016,DEU,7.5,9.235191378
2016,GHA,6.75,7.872177815
2016,GRC,5.5,7.94676815
2016,GTM,4.25,6.548245982
2016,GIN,2.75,5.371201607
2016,GNB,4,6.859721724
2016,GUY,6,7.041795873
2016,HTI,5.75,7.184442588
2016,HND,1.75,6.386482597
2016,HKG,5,8.583679591
2016,HUN,5.75,8.258945773
2016,ISL,8.75,9.083506216
2016,IND,4.5,6.195871335
2016,IDN,5.5,6.38131246
2016,IRN,1,4.532449245
2016,IRQ,2,3.11602762
2016,IRL,8.5,8.939129404
2016,ISR,6.5,7.544916142
2016,ITA,7.5,8.690446317
2016,JAM,7.75,7.268416093
2016,JPN,6,8.73377055
2016,JOR,3.5,6.238666517
2016,KAZ,1.5,6.375675545
2016,KEN,4,6.44553669
2016,KOR,6.5,8.766349858
2016,KWT,4.25,5.630574474
2016,KGZ,3.25,6.247012954
2016,LAO,1.5,5.863586171
2016,LVA,8,8.851068084
2016,LBN,4.75,6.429994179
2016,LSO,4.5,6.68844396
2016,LBR,4.5,6.403401744
2016,LBY,1.25,3.880565623
2016,LTU,8.5,8.821338926
2016,LUX,8.75,9.257401822
2016,MKD,3.75,7.413658024
2016,MDG,4.25,6.835123509
2016,MWI,6.25,7.445213609
2016,MYS,3.75,5.902979954
2016,MLI,5.25,6.060929471
2016,MLT,7.75,8.977997462
2016,MRT,5,4.987749776
2016,MUS,7.5,7.717465632
2016,MEX,2.25,6.796020397
2016,MDA,4.75,7.059029525
2016,MNG,7,7.998312553
2016,MNE,5.25,7.630104133
2016,MAR,3.75,5.986756512
2016,MOZ,4.75,6.659206645
2016,MMR,2.75,5.463360869
2016,NAM,6.75,7.394915502
2016,NPL,4.75,6.91161139
2016,NLD,8.75,9.39884236
2016,NZL,8,9.284819157
2016,NIC,4,6.432494726
2016,NER,5.25,5.714520097
2016,NGA,4.5,5.823617206
2016,NOR,9.25,9.342481133
2016,OMN,3.25,5.509055213
2016,PAK,2.5,5.324592448
2016,PAN,6.25,7.715240074
2016,PNG,6.75,7.254948816
2016,PRY,4,6.974598187
2016,PER,5.25,7.720786695
2016,PHL,5,6.497526694
2016,POL,6.5,8.353120455
2016,PRT,8.25,9.043712243
2016,QAT,3.25,5.525552977
2016,ROU,6,8.653232499
2016,RUS,1.5,5.714381665
2016,RWA,1.5,6.467739051
2016,SAU,2,4.438732069
2016,SEN,6.25,6.774187769
2016,SRB,4.75,7.847943252
2016,SYC,6,7.372524335
2016,SLE,5,7.044659152
2016,SGP,4.5,7.479423635
2016,SVK,7.75,8.536499891
2016,SVN,8,8.822791467
2016,ZAF,5,7.695143614
2016,ESP,6.5,8.758213764
2016,LKA,3.75,6.040721833
2016,SDN,1,4.246047171
2016,SUR,6.75,7.788563046
2016,SWZ,2.5,6.020328657
2016,SWE,8.75,9.334750298
2016,CHE,9,9.185518099
2016,SYR,0.5,2.511653754
2016,TWN,8,9.041394037
2016,TJK,1.75,5.652324579
2016,TZA,4.5,6.126418693
2016,THA,1.75,6.399562601
2016,TLS,7.25,6.186449627
2016,TGO,5.25,6.72993801
2016,TTO,7.25,6.920446388
2016,TUN,5.5,6.577472244
2016,TUR,1.75,6.092465309
2016,UGA,3.75,6.128889094
2016,UKR,3.75,6.586270408
2016,ARE,2.5,5.073350176
2016,GBR,7.75,8.995835872
2016,USA,7,8.747310216
2016,URY,7.5,8.296141806
2016,VEN,2.25,5.521448913
2016,VNM,1.75,5.9680076
2016,YEM,1,2.16655534
2016,ZMB,4,6.007698856
2016,ZWE,3.75,5.170725575
