Buoy,Longitude,Latitude,2015 12 27,2015 12 28,2015 12 29,2015 12 30,2015 12 31
cwbf1,-82.832,27.978,3.973430045,4.025282191,4.077134337,4.128986483,4.180838629
plsf1,-82.773,24.693,8.166666667,7.070833333,5.629166667,5.170833333,5.1875
sanf1,-81.877,24.456,10.52083333,8.829166667,8.145833333,7.075,7.373913043
sgof1,-84.858,29.408,5.358333333,7.9875,6.270833333,6.329166667,5.529166667
42039,-86.008,28.788,7.841666667,9.5125,4.470833333,6.158333333,6.147826087
42040,-88.226,29.208,8.1,9.783333333,5.383333333,5.270833333,6.713043478
ptbm6,-88.505,30.213,5.376117145,5.342387417,5.30865769,5.274927962,5.241198234
gisl1,-89.958,29.265,4.064969681,4.026633684,3.988297687,3.94996169,3.911625693
burl1,-89.428,28.905,10.53333333,11.375,6.054166667,8.095833333,9.358333333
42035,-94.413,29.232,8.4375,11.5125,4.316666667,8.454166667,9.404347826
42019,-95.35,27.906,13,13.075,5.079166667,9.866666667,10.52272727
42045,-96.5,26.217,12.69583333,9.70212766,4.410638298,5.159574468,6.464583333
