Month,deaths
Jan-1973,9007
Feb-1973,8106
Mar-1973,8928
Apr-1973,9137
May-1973,10017
Jun-1973,10826
Jul-1973,11317
Aug-1973,10744
Sep-1973,9713
Oct-1973,9938
Nov-1973,9161
Dec-1973,8927
Jan-1974,7750
Feb-1974,6981
Mar-1974,8038
Apr-1974,8422
May-1974,8714
Jun-1974,9512
Jul-1974,10120
Aug-1974,9823
Sep-1974,8743
Oct-1974,9129
Nov-1974,8710
Dec-1974,8680
Jan-1975,8162
Feb-1975,7306
Mar-1975,8124
Apr-1975,7870
May-1975,9387
Jun-1975,9556
Jul-1975,10093
Aug-1975,9620
Sep-1975,8285
Oct-1975,8433
Nov-1975,8160
Dec-1975,8034
Jan-1976,7717
Feb-1976,7461
Mar-1976,7776
Apr-1976,7925
May-1976,8634
Jun-1976,8945
Jul-1976,10078
Aug-1976,9179
Sep-1976,8037
Oct-1976,8488
Nov-1976,7874
Dec-1976,8647
Jan-1977,7792
Feb-1977,6957
Mar-1977,7726
Apr-1977,8106
May-1977,8890
Jun-1977,9299
Jul-1977,10625
Aug-1977,9302
Sep-1977,8314
Oct-1977,8850
Nov-1977,8265
Dec-1977,8796
Jan-1978,7836
Feb-1978,6892
Mar-1978,7791
Apr-1978,8129
May-1978,9115
Jun-1978,9434
Jul-1978,10484
Aug-1978,9827
Sep-1978,9110
Oct-1978,9070
Nov-1978,8633
Dec-1978,9240
