year,level (ft)
1875,10.38
1876,11.86
1877,10.97
1878,10.8
1879,9.79
1880,10.39
1881,10.42
1882,10.82
1883,11.4
1884,11.32
1885,11.44
1886,11.68
1887,11.17
1888,10.53
1889,10.01
1890,9.91
1891,9.14
1892,9.16
1893,9.55
1894,9.67
1895,8.44
1896,8.24
1897,9.1
1898,9.09
1899,9.35
1900,8.82
1901,9.32
1902,9.01
1903,9
1904,9.8
1905,9.83
1906,9.72
1907,9.89
1908,10.01
1909,9.37
1910,8.69
1911,8.19
1912,8.67
1913,9.55
1914,8.92
1915,8.09
1916,9.37
1917,10.13
1918,10.14
1919,9.51
1920,9.24
1921,8.66
1922,8.86
1923,8.05
1924,7.79
1925,6.75
1926,6.75
1927,7.82
1928,8.64
1929,10.58
1930,9.48
1931,7.38
1932,6.9
1933,6.94
1934,6.24
1935,6.84
1936,6.85
1937,6.9
1938,7.79
1939,8.18
1940,7.51
1941,7.23
1942,8.42
1943,9.61
1944,9.05
1945,9.26
1946,9.22
1947,9.38
1948,9.1
1949,7.95
1950,8.12
1951,9.75
1952,10.85
1953,10.41
1954,9.96
1955,9.61
1956,8.76
1957,8.18
1958,7.21
1959,7.13
1960,9.1
1961,8.25
1962,7.91
1963,6.89
1964,5.96
1965,6.8
1966,7.68
1967,8.38
1968,8.52
1969,9.74
1970,9.31
1971,9.89
1972,9.96
